time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_pedestrian_velocity	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	behavior_active	
65.41	1.8336810171604156e-05	4.0366109854483305	0	0	0	0	0	1	0.0038933244068175554	-3.056397326872684e-05	-0.0007010696572251618	-0.0008763370715314522	1.4948489665985107	1.4948489665985107	1.035108015514489e-07	1.035108015514489e-07	2.07021608588304e-07	0.0	9.125128208609112e-09	1	
66.23	1.8524006009101868e-05	4.8699983763127355	0	0	0	0	0	1	0.00982738472521305	4.647483365260996e-05	0.007236658924872556	0.00882519381082019	1.4777597188949585	1.4777597188949585	3.16205562245843e-07	3.16205562245843e-07	6.324111199835461e-07	0.0	1.2117110093079475e-10	1	
67.04	1.3527227565646172e-05	5.855002434182639	0	0	0	0	0	0	0.09332023561000824	2.7688254704116844e-05	0.10307759368493233	0.12725628849991644	1.5	1.5	3.039454822190532e-07	3.039454822190532e-07	6.07890966111729e-07	0.0	8.21844491332574e-13	1	
67.88	2.4406472221016884e-05	6.8976741737179585	0	0	0	0	0	0	0.0918070375919342	3.4559302548586857e-06	-0.0018014262119928996	-0.0021445550142772615	1.5	1.5	2.6657803973412385e-07	2.6657803973412385e-07	5.33156081153176e-07	0.0	4.289023326222666e-15	1	
68.69	1.6812235116958618e-05	7.948147122461007	0	0	0	0	0	1	0.007123891264200211	2.2649708625976928e-05	-0.10454709423177036	-0.12907048670588933	1.5	1.5	1.0188439695475546e-07	1.0188439695475546e-07	2.0376880009116512e-07	0.0	2.1897255870040532e-17	1	
69.52	2.1055806428194046e-05	8.79252908325762	0	0	0	0	0	0	0.09289281815290451	5.3763502364745364e-05	0.10333605649241483	0.1245012728824275	0.6708003282546997	0.6708003282546997	3.269073603819057e-06	3.269073603819057e-06	6.538147262703793e-06	0.0	3.1701867582096125e-19	1	
70.27	1.3819197192788124e-05	7.968244067044045	0	0	0	0	0	1	0.00898379273712635	3.6895926314173266e-05	-0.11187870055437088	-0.14917160073916116	1.457044005393982	1.457044005393982	6.378885511250684e-05	6.378885511250673e-05	0.00012757770666095878	0.0	1.934335227239531e-17	1	
71.06	1.978222280740738e-05	6.931902207033263	0	0	0	0	0	1	0.0032944674603641033	-5.137010884936899e-05	-0.007201677565521832	-0.009116047551293457	1.4967950582504272	1.4967950582504272	3.089638196014547e-05	3.089638196014547e-05	6.179276462843389e-05	0.0	3.4075485370253485e-15	0	
71.87	1.7675338312983513e-05	5.886875097651901	0	0	0	0	0	1	0.00964055210351944	2.6889974833466113e-05	0.007834672398957205	0.009672435060440993	1.5	1.5	1.5408567401083307e-05	1.5408567401083307e-05	3.0817135689050084e-05	0.0	6.2776043044388e-13	1	
72.7	1.880992203950882e-05	4.885538731847612	0	0	0	0	0	1	0.0038933244068175554	-3.056655259570107e-05	-0.006924370718917933	-0.00834261532399751	1.5	1.5	3.9334536699386e-06	3.933453669938607e-06	7.866907296752897e-06	0.0	9.361491443149461e-11	1	
